year,state_territory,age_group,n_studying,population,prop_studying
2022,ACT,15_19,19.9,23.9,0.8326359832635983
2022,ACT,20_24,13.9,27.8,0.5
2022,ACT,25_29,7.3,33.1,0.22054380664652568
2022,ACT,30_34,4.1,33.3,0.12312312312312312
2022,ACT,35_39,2.1,34.1,0.06158357771260997
2022,ACT,40_44,3.1,32.3,0.09597523219814243
2022,ACT,45_49,1.2,27.9,0.043010752688172046
2022,ACT,50_54,2.5,26.8,0.09328358208955223
2022,ACT,55_74,1.9,77.3,0.02457956015523933
2022,NSW,15_19,401.7,473.3,0.8487217409676737
2022,NSW,20_24,232.2,498.8,0.46551724137931033
2022,NSW,25_29,93.4,571.2,0.163515406162465
2022,NSW,30_34,73.4,612.1,0.11991504656101945
2022,NSW,35_39,47.9,597.1,0.08022106849773906
2022,NSW,40_44,38.3,536.3,0.0714152526570949
2022,NSW,45_49,30.2,508,0.05944881889763779
2022,NSW,50_54,17.6,507.7,0.03466614142209967
2022,NSW,55_74,22.8,1730.5,0.013175382837330251
2022,NT,15_19,9.8,12.3,0.7967479674796748
2022,NT,20_24,3.3,9.6,0.34375
2022,NT,25_29,3.2,15.8,0.20253164556962025
2022,NT,30_34,3.5,19.3,0.18134715025906736
2022,NT,35_39,2.5,17.6,0.14204545454545453
2022,NT,40_44,1.2,14.1,0.0851063829787234
2022,NT,45_49,1.6,14.6,0.10958904109589042
2022,NT,50_54,1.3,14.5,0.0896551724137931
2022,NT,55_74,2.1,37.4,0.05614973262032086
2022,Qld,15_19,254.1,328.6,0.7732805842970176
2022,Qld,20_24,105.9,318.4,0.33260050251256285
2022,Qld,25_29,57.8,355.4,0.1626336522228475
2022,Qld,30_34,46.9,365.1,0.12845795672418514
2022,Qld,35_39,35.2,366.7,0.09599127352058905
2022,Qld,40_44,23.4,340.2,0.06878306878306878
2022,Qld,45_49,21.1,336.7,0.06266706266706268
2022,Qld,50_54,14.8,339.8,0.04355503237198352
2022,Qld,55_74,14.8,1112.1,0.013308155741390165
2022,SA,15_19,84.5,101.8,0.8300589390962673
2022,SA,20_24,42.5,107.9,0.39388322520852637
2022,SA,25_29,17.6,115,0.1530434782608696
2022,SA,30_34,13.4,116.1,0.11541774332472007
2022,SA,35_39,11.3,116.9,0.09666381522668947
2022,SA,40_44,10.9,108.6,0.10036832412523021
2022,SA,45_49,4.3,106.7,0.04029990627928772
2022,SA,50_54,5.8,114.2,0.050788091068301226
2022,SA,55_74,4.6,410.6,0.011203117389186555
2022,Tas.,15_19,25.9,31.5,0.8222222222222222
2022,Tas.,20_24,10.4,30.5,0.3409836065573771
2022,Tas.,25_29,4.9,33.4,0.14670658682634732
2022,Tas.,30_34,5,33.2,0.1506024096385542
2022,Tas.,35_39,3.6,32.6,0.11042944785276074
2022,Tas.,40_44,3.5,31.1,0.11254019292604502
2022,Tas.,45_49,1.7,32.1,0.0529595015576324
2022,Tas.,50_54,1.6,35.9,0.044568245125348196
2022,Tas.,55_74,2.3,137.9,0.016678752719361853
2022,Vic.,15_19,324.5,376.8,0.8611995753715499
2022,Vic.,20_24,206.9,413.2,0.5007260406582769
2022,Vic.,25_29,91.8,502.3,0.18275930718694006
2022,Vic.,30_34,59,526,0.11216730038022814
2022,Vic.,35_39,42.4,509.4,0.08323517864153906
2022,Vic.,40_44,32.2,444.5,0.07244094488188978
2022,Vic.,45_49,27.1,414.7,0.06534844465878949
2022,Vic.,50_54,16.9,419.7,0.04026685727900881
2022,Vic.,55_74,16.6,1346.6,0.012327342937769199
2022,WA,15_19,125.4,156.2,0.8028169014084507
2022,WA,20_24,66.9,158.6,0.42181588902900385
2022,WA,25_29,25.9,175.9,0.14724275156338829
2022,WA,30_34,21,198.5,0.10579345088161209
2022,WA,35_39,21,205,0.1024390243902439
2022,WA,40_44,11.5,182.9,0.06287588846364134
2022,WA,45_49,8.3,172.2,0.04819976771196284
2022,WA,50_54,5.8,175.9,0.032973280272882315
2022,WA,55_74,6.9,559.4,0.012334644261708974
